link	title	id	description	image_link	brand	condition	product_type	expiration_date	price	size	weight
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=4	Four Product Kit	890546-000042	This is the product detail text. You can include photos, hyperlinks, formatted text, HTML, and just about anything else you could want can&nbsp;go here.&nbsp;	http://localhost:8500/cfwebstorefb6/images/products/kit_200.jpg					79.95		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=8	Baseball Jersey	20030902	Our 100% Cotton Baseball Jerseys are popular with both men and women. Choose either Red, Blue or Black sleeves. Jerseys are 100% Preshrunk Cotton with 3/4&nbsp;raglan double needle sleeves. Exceptionally&nbsp;fade resistent wash after wash. This product has its&nbsp;options vertically instead of in a colored horizontal line. This is a great feature for products with multiple options.	http://localhost:8500/cfwebstorefb6/images/products/Tshirt_orange_front_100.jpg,products/Tshirt_orange_back_100.jpg	Jerzees				18.95	One size fits all	
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=9	CFWebstore Cup	5366	Our extra large mug is guaranteed to save you trips to the coffee maker! It's the perfect accessory for every caffeine junky. It will keep hot things hot and cold things cold and provides a great place to stash some pencils as well.&nbsp;	http://localhost:8500/cfwebstorefb6/images/products/cup_200.jpg					12		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=12	Software Product	cfwsfb5-01	Buy this software product and download it right now!	http://localhost:8500/cfwebstorefb6/images/products/dataCD.jpg					300		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=13	Pump Cap Bottle	890546-000066	This item must be purchased in quantities of 5. It's best to write in an outline format for the web. People scan much more on the web than sit and read. bullet points are really easy to read. people like bullet points you should use bullet points frequently. You can even include html links to other products and features.	http://localhost:8500/cfwebstorefb6/images/products/serum_100.jpg					44.95		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=275	CDX-M800 CD Receiver	CDXM800	The CDX-M800 CD receiver upgrades Sony's Active Black Panel to an exciting full-motion fluorescent display with high-resolution graphics and screensavers! Open the faceplate, and the inner panel features a smaller LED display and soft-touch controls. Close the faceplate, and use the wireless remote to control the receiver when viewing the extra-large display. When you power down, the Active Black Panel does double-duty by disguising the receiver as a featureless panel in your dash. If your car has speakers low in the door, you'll appreciate the Dynamic Soundstage Organizer. It raises the stereo image off the floor, making your music sound more robust and exciting. No matter where your speakers are, Sony's 4-way high power will give them the juice they need to make your tunes come to life! Fine tune the sound with the seven preset curves and 7-band equalizer of EQ7. Add Sony's XM tuner and you're primed for the crystal-clear, diverse programming of XM Satellite Radio (antenna and subscription required). If you want even more entertainment, the CDX-M800 will also control a Sony 6- or 10-disc CD changer. Front, rear, and subwoofer preamp outputs simplify adding outboard amps to your system. Active Black Panel faceplate full-motion fluorescent display SSIR-EXA tuner 18 FM/12 AM presets seek tuning EQ7 (7-band equalizer and 7 preset tone curves) Dynamic Soundstage Organizer XM Satellite Radio controls (XM subscription, optional Sony XM tuner, and antenna required to receive the satellite radio signal)  service is available only in the lower 48 states, not available in Alaska, Hawaii, or U.S. territories CD/MD changer controls front, rear, and mono subwoofer preamp outputs high-pass and low-pass filters CD text displays 8 characters of XM Satellite Radio info auxiliary input wireless remote clock 23.2 watts RMS/52 peak x 4 channels CD frequency response 10-20,000 Hz CD signal-to-noise ratio 90 dB FM sensitivity 9 dBf 1-year warranty	http://localhost:8500/cfwebstorefb6/images/products/327SM.jpg					227.25		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=276	Test		asdasgfasdfasdfasdf						50		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=278	Copy of Four Product Kit	890546-000042	This is the product detail text. You can include photos, hyperlinks, formatted text, HTML, and just about anything else you could want can&nbsp;go here.&nbsp;	http://localhost:8500/cfwebstorefb6/images/products/kit_200.jpg					79.95		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=279	Site Reservation		&nbsp;						50		
http://localhost:8500/cfwebstorefb6/index.cfm?fuseaction=product.display&Product_ID=280	FedEx Test Product		This product can be used to test FedEx shipping. It has a default weight of 1 pound, use the add-on field to add additional weight.	http://localhost:8500/cfwebstorefb6/images/products/fedex_sm.gif					10		
